"Own_functional_mobile","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Both smart and non smart phone","Secondary","Rural","North East","Male",29,42,54,38,28,39,44,67,46,28,38
"Both smart and non smart phone","Secondary","Rural","North East","Female",18,42,28,12,7,6,4,4,6,3,5
"Both smart and non smart phone","Secondary","Rural","Upper East","Male",43,111,110,75,65,86,132,156,126,111,142
"Both smart and non smart phone","Secondary","Rural","Upper East","Female",121,124,76,26,25,37,56,46,26,24,38
"Both smart and non smart phone","Secondary","Rural","Upper West","Male",14,69,50,51,44,56,87,108,96,74,87
"Both smart and non smart phone","Secondary","Rural","Upper West","Female",9,54,40,25,13,20,21,38,25,16,33
"Both smart and non smart phone","Secondary","Urban","Ghana","Male",1005,1494,1733,2679,3052,7911,13885,11950,9673,7627,7203
"Both smart and non smart phone","Secondary","Urban","Ghana","Female",1154,1515,1555,2121,2152,6355,11494,6620,5775,4719,5847
"Both smart and non smart phone","Secondary","Urban","Western","Male",70,105,149,220,226,531,1013,707,592,505,447
"Both smart and non smart phone","Secondary","Urban","Western","Female",53,102,99,174,157,450,853,476,422,307,402
"Both smart and non smart phone","Secondary","Urban","Central","Male",75,126,138,168,225,727,1287,951,751,598,659
"Both smart and non smart phone","Secondary","Urban","Central","Female",88,134,137,147,145,585,1132,538,452,411,517
"Both smart and non smart phone","Secondary","Urban","Greater Accra","Male",166,403,592,1077,1268,2849,4663,4475,3508,2733,2336
"Both smart and non smart phone","Secondary","Urban","Greater Accra","Female",191,384,510,835,941,2387,3815,2790,2432,2068,2193
"Both smart and non smart phone","Secondary","Urban","Volta","Male",50,83,81,114,136,333,532,551,473,373,385
"Both smart and non smart phone","Secondary","Urban","Volta","Female",89,88,75,106,91,236,461,309,279,192,282
"Both smart and non smart phone","Secondary","Urban","Eastern","Male",113,114,127,182,232,761,1534,1003,919,788,857
"Both smart and non smart phone","Secondary","Urban","Eastern","Female",110,121,110,161,142,712,1332,623,547,477,633
"Both smart and non smart phone","Secondary","Urban","Ashanti","Male",102,181,211,336,426,1446,2731,2116,1740,1338,1364
"Both smart and non smart phone","Secondary","Urban","Ashanti","Female",153,195,192,305,334,1206,2442,1125,1002,768,1158
"Both smart and non smart phone","Secondary","Urban","Western North","Male",44,32,23,39,43,139,247,165,129,114,88
"Both smart and non smart phone","Secondary","Urban","Western North","Female",121,43,31,23,23,70,139,44,53,37,48
"Both smart and non smart phone","Secondary","Urban","Ahafo","Male",20,22,25,27,42,137,298,219,183,151,132
"Both smart and non smart phone","Secondary","Urban","Ahafo","Female",71,27,23,25,36,87,226,106,66,61,108
"Both smart and non smart phone","Secondary","Urban","Bono","Male",35,71,74,114,113,273,528,513,419,301,286
"Both smart and non smart phone","Secondary","Urban","Bono","Female",43,64,70,96,74,214,488,243,213,158,247
"Both smart and non smart phone","Secondary","Urban","Bono East","Male",31,52,42,63,78,201,364,355,244,172,156
"Both smart and non smart phone","Secondary","Urban","Bono East","Female",43,62,45,59,37,140,241,111,97,83,86
"Both smart and non smart phone","Secondary","Urban","Oti","Male",21,41,38,35,27,92,143,123,103,103,76
"Both smart and non smart phone","Secondary","Urban","Oti","Female",13,16,26,19,25,61,93,45,37,22,46
"Both smart and non smart phone","Secondary","Urban","Northern","Male",215,160,118,158,117,205,258,380,302,253,215
"Both smart and non smart phone","Secondary","Urban","Northern","Female",54,138,126,87,74,99,109,106,78,56,63
"Both smart and non smart phone","Secondary","Urban","Savannah","Male",17,41,38,53,29,50,38,67,51,47,37
"Both smart and non smart phone","Secondary","Urban","Savannah","Female",5,34,29,17,18,23,32,18,10,12,6
"Both smart and non smart phone","Secondary","Urban","North East","Male",10,22,29,21,19,39,61,72,56,32,46
"Both smart and non smart phone","Secondary","Urban","North East","Female",38,29,10,14,17,14,17,17,10,14,8
"Both smart and non smart phone","Secondary","Urban","Upper East","Male",32,29,30,42,42,74,95,145,116,69,70
"Both smart and non smart phone","Secondary","Urban","Upper East","Female",70,52,56,37,23,42,68,30,46,22,25
"Both smart and non smart phone","Secondary","Urban","Upper West","Male",4,12,18,30,29,54,93,108,87,50,49
"Both smart and non smart phone","Secondary","Urban","Upper West","Female",12,26,16,16,15,29,46,39,31,31,25
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ghana","Male",2694,4939,6996,7882,5946,3313,2057,1200,1055,1250,971
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ghana","Female",1781,2401,3307,3133,1765,740,363,199,187,302,174
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Western","Male",217,286,511,508,378,228,138,95,87,93,46
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Western","Female",147,153,269,188,113,47,17,10,7,14,7
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Central","Male",325,488,742,826,649,333,243,157,113,140,106
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Central","Female",248,261,384,419,223,76,53,27,20,25,22
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",83,290,400,454,351,227,159,86,67,50,41
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",75,277,268,276,192,93,50,30,17,27,10
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Volta","Male",243,369,546,730,683,483,319,183,167,195,172
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Volta","Female",165,231,304,354,210,115,62,31,23,60,42
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Eastern","Male",264,436,684,884,747,407,281,136,148,200,171
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Eastern","Female",188,208,433,465,262,125,50,28,24,50,28
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",402,772,1246,1418,972,461,316,214,173,208,176
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",214,414,631,612,367,111,61,26,38,54,30
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Western North","Male",158,266,309,367,214,101,70,32,33,45,23
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Western North","Female",108,92,142,91,37,15,11,6,11,8,2
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",87,97,164,210,111,58,31,31,27,27,15
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",60,47,66,75,28,6,3,3,4,6,5
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Bono","Male",138,344,380,387,274,133,80,56,48,60,45
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Bono","Female",150,174,171,149,83,30,22,8,9,9,2
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Bono East","Male",92,168,258,287,220,103,71,38,25,35,22
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Bono East","Female",46,69,101,86,48,11,7,2,3,1,0
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Oti","Male",116,142,188,222,190,113,74,35,54,38,46
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Oti","Female",41,56,73,64,42,13,7,8,9,16,6
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Northern","Male",155,295,425,360,276,141,65,26,32,32,22
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Northern","Female",76,103,119,55,27,22,5,1,3,3,5
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Savannah","Male",60,78,124,106,48,33,15,5,8,9,5
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Savannah","Female",12,28,26,27,3,5,0,2,2,0,2
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","North East","Male",38,140,146,134,107,48,15,10,9,12,4
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","North East","Female",16,25,38,14,12,3,0,1,1,1,0
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Upper East","Male",182,561,559,662,470,277,113,66,47,73,39
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Upper East","Female",161,192,176,180,78,41,9,13,10,15,6
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Upper West","Male",134,207,314,327,256,167,67,30,17,33,38
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Rural","Upper West","Female",74,71,106,78,40,27,6,3,6,13,7
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ghana","Male",5453,25674,28442,26512,18794,11000,6906,4108,3118,3066,2215
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ghana","Female",4697,18200,17453,14382,8733,4147,2033,1197,1029,1164,655
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Western","Male",202,941,1477,1355,1021,562,379,245,180,169,129
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Western","Female",204,575,846,765,478,213,122,67,62,53,31
